Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
3 bedroom flat / apartment for rent,Lekki Phase 1,20000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302362-3-bedroom-apartment
5 bedroom terraced duplex for rent,Lekki Phase 1,30000000,5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3302363-newly-built-premium-in-serene-surroundings
5 bedroom semi-detached duplex for rent,Lekki,40000000,5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3299400-spacious-5-bedrooms-semi-detached-duplex-with-bq
4 bedroom semi-detached duplex for rent,Lekki,15000000,4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3302346-luxury-4-bedroom-semi-detached-duplex
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 1,5000000,1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3302304-one-1-bedroom-apartment
6 bedroom flat / apartment for rent,Lekki,10000000,6,2,2,6 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/3302336-6-bedroom-semi-detached-with-2-rooms-bq
2 bedroom flat / apartment for rent,Lekki Phase 1,25000000,2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3295536-luxury-fully-furnished-2-bedroom-apartment
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 2,1700000,1,2,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-2/3302310-a-standard-room-and-parlor
2 bedroom flat / apartment for rent,Lekki Phase 1,20000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302274-furnished-2-bedroom-apartment-with-swimming-pool
1 bedroom house for rent,Ikota,1800000,1,1,1,1 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikota/3302273-spacious-shared-apartment
