title,location,price,bedrooms,bathrooms,toilets,property_type,url
Spacious Luxury 4 Bedroom Terrace With 2 Kitchen And A Bq,"Ojora Road, Ikoyi, Lagos","₦50,000,000 per annum",4,5,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3300472-spacious-luxury-4-bedroom-terrace-with-2-kitchen-and-a-bq
1000sqm Of Land,"Off Queen's Drive, Ikoyi, Lagos","₦80,000,000 per annum",0,0,0,Land for rent,https://nigeriapropertycentre.com/for-rent/land/lagos/ikoyi/3300517-1000sqm-of-land
2700sqm Land With Demolished Structure,"Off Bourdillon Road Ikoyi, Ikoyi, Lagos","₦150,000,000 per annum",0,0,0,Land for rent,https://nigeriapropertycentre.com/for-rent/land/lagos/ikoyi/3300526-2700sqm-land-with-demolished-structure
1000sqm Land,"Off Macpherson Road, Ikoyi, Lagos","₦80,000,000 per annum",0,0,0,Land for rent,https://nigeriapropertycentre.com/for-rent/land/lagos/ikoyi/3300548-1000sqm-land
Premium Waterfront Serviced 3 Bedroom Residence,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",3,4,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3300738-premium-waterfront-serviced-3-bedroom-residence
Brand New Luxury 4-bedroom Apartment With A Room Bq,"Banana Island Road, Ikoyi, Lagos","₦40,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300755-brand-new-luxury-4-bedroom-apartment-with-a-room-bq
Studio Apartment,"Dolphin Estate, Ikoyi, Lagos","₦750,000 per month",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ikoyi/2390031-studio-apartment
1 Bedroom Apartment,"Dolphin Estate, Ikoyi, Lagos","₦1,000,000 per month",1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/2734529-1-bedroom-apartment
Fully Furnished And Serviced 4 Bedroom Semi Detached Duplex With Bq,"Adeyemi Lawson Street, Ikoyi, Lagos","₦50,000,000 per annum",4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/3300788-fully-furnished-and-serviced-4-bedroom-semi-detached-duplex-with-bq
An Entire Ground Floor Of Semi-detached Duplex,"Itafaji St, Dolphin Estate, Ikoyi, Lagos","₦5,000,000 per annum",0,1,2,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/3300799-an-entire-ground-floor-of-semi-detached-duplex
2 Bedroom Flat,"Parkview, Ikoyi, Lagos","₦12,000,000 per annum",0,2,2,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ikoyi/parkview/3300293-2-bedroom-flat
3 Bedroom Flat,"Parkview, Ikoyi, Lagos","₦1,000,000 per month",1,3,3,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ikoyi/parkview/3300395-3-bedroom-flat
Well-maintained 2-bedroom Apartment With Swimming Pool,"Old Ikoyi, Ikoyi, Lagos","₦20,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300058-well-maintained-2-bedroom-apartment-with-swimming-pool
Lagoon View 3 Bedrooms Apartment,"Old Ikoyi, Ikoyi, Lagos","₦30,000,000 per annum",3,4,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3255090-lagoon-view-3-bedrooms-apartment
Premium 4-bedroom Terrace With A Room Bq,"Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3300432-premium-4-bedroom-terrace-with-a-room-bq
"Spacious 12 Units Of 3 Bedroom Apartment With Bq, Fitted Kitchen","Old Ikoyi, Ikoyi, Lagos","₦20,000,000 per annum",3,5,5,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300456-spacious-12-units-of-3-bedroom-apartment-with-bq-fitted-kitchen
Large Furnished 3 Bedroom Penthouse,"Olumegbon Street, Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300461-large-furnished-3-bedroom-penthouse
A 4 Bedroom Apartment With Bq,"Ikoyi, Lagos","₦50,000,000 per annum",4,4,4,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3163059-a-4-bedroom-apartment-with-bq
A Luxury 3 Bedroom Apartment With A Bq,"Ikoyi, Lagos","₦30,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3140942-a-luxury-3-bedroom-apartment-with-a-bq
Fully Furnished & Serviced 4-bedroom Semi-detached Duplex With Bq,"Lawalson, Ikoyi, Lagos","₦50,000,000 per annum",4,4,4,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/3300134-fully-furnished-serviced-4-bedroom-semi-detached-duplex-with-bq
Very Beautiful Fully Serviced 3-bedroom Apartment,"Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300208-very-beautiful-fully-serviced-3-bedroom-apartment
6 Units Of 3 Bedroom,"Ikoyi, Lagos","₦210,000,000 per annum",3,0,0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300321-6-units-of-3-bedroom
Fully Serviced 3 Bedroom Apartment On A 2nd Floor Available With Pool,"Ikoyi, Lagos","₦35,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300446-fully-serviced-3-bedroom-apartment-on-a-2nd-floor-available-with-pool
All 4floors Office Space On 1665sqm,"Water Corporation, Victoria Island Extension, Victoria Island (VI), Lagos","₦166,500,000 per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/victoria-island-extension/3296378-all-4floors-office-space-on-1665sqm
Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3296092-furnished-3-bedroom-apartment
Tastefully Furnished Apartment,"Victoria Island (VI), Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3296154-tastefully-furnished-apartment
4 Bedrooms Plus 2 Rooms Bq For Office Use,"Off Sanusi Fafunwa, Victoria Island (VI), Lagos","₦30,000,000 per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3296226-4-bedrooms-plus-2-rooms-bq-for-office-use
Premium Grade A Office Space (250 Sqm),"Ozumba Mbadiwe Avenue, Victoria Island (VI), Lagos","₦750,000 per square meter / per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3264297-premium-grade-a-office-space-250-sqm
Lovely 4 Bedroom Terrace Duplex With Bq,"Victoria Island (VI), Lagos","₦20,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/victoria-island/3296370-lovely-4-bedroom-terrace-duplex-with-bq
"Tastefully And Remarkably Built, Fully Furnished 3bedroom Apartment","Ajose Adeogun, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3296387-tastefully-and-remarkably-built-fully-furnished-3bedroom-apartment
2 Units Of 5-bedroom Semi-detached Houses With 2 Bqs,"Victoria Island (VI), Lagos","₦150,000,000 per annum",5,5,6,5 bedroom commercial property for rent,https://nigeriapropertycentre.com/for-rent/commercial/lagos/victoria-island/3296427-2-units-of-5-bedroom-semi-detached-houses-with-2-bqs
Furnished 3 Bedroom Apartment Without Bq,"Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3296592-furnished-3-bedroom-apartment-without-bq
5 Bedroom Detached House With 3 Room Bq,"Off Akin Adeshola, Victoria Island (VI), Lagos","₦100,000,000 per annum",5,5,5,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/victoria-island/3215356-5-bedroom-detached-house-with-3-room-bq
"Premium Two (2) Bedroom Apartment With Pool, Gym Lounge","Victoria Island (VI), Lagos","₦35,000,000 per annum",2,0,0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3290805-premium-two-2-bedroom-apartment-with-pool-gym-lounge
